Distance (ft),Bmax,Bprod,Bx,By,Emax,Eprod,Ex,Ey
-960.0,3.172,3.172,0.352,3.153,0.005,0.005,0.0,0.005
-955.0,3.211,3.211,0.357,3.191,0.005,0.005,0.0,0.005
-950.0,3.251,3.251,0.362,3.231,0.005,0.005,0.0,0.005
-945.0,3.292,3.292,0.367,3.271,0.005,0.005,0.0,0.005
-940.0,3.333,3.333,0.372,3.312,0.005,0.005,0.0,0.005
-935.0,3.375,3.375,0.377,3.354,0.005,0.005,0.0,0.005
-930.0,3.418,3.418,0.382,3.397,0.005,0.005,0.0,0.005
-925.0,3.462,3.462,0.388,3.44,0.005,0.005,0.0,0.005
-920.0,3.506,3.506,0.393,3.484,0.005,0.005,0.0,0.005
-915.0,3.552,3.552,0.399,3.529,0.005,0.005,0.0,0.005
-910.0,3.598,3.598,0.404,3.575,0.005,0.005,0.0,0.005
-905.0,3.646,3.646,0.41,3.622,0.005,0.005,0.0,0.005
-900.0,3.694,3.694,0.416,3.67,0.005,0.005,0.0,0.005
-895.0,3.743,3.743,0.422,3.719,0.005,0.005,0.0,0.005
-890.0,3.793,3.793,0.429,3.769,0.006,0.006,0.0,0.006
-885.0,3.845,3.845,0.435,3.82,0.006,0.006,0.0,0.006
-880.0,3.897,3.897,0.442,3.872,0.006,0.006,0.0,0.006
-875.0,3.95,3.95,0.448,3.925,0.006,0.006,0.0,0.006
-870.0,4.005,4.005,0.455,3.979,0.006,0.006,0.0,0.006
-865.0,4.061,4.061,0.462,4.034,0.006,0.006,0.0,0.006
-860.0,4.118,4.118,0.469,4.091,0.006,0.006,0.0,0.006
-855.0,4.176,4.176,0.477,4.148,0.006,0.006,0.0,0.006
-850.0,4.235,4.235,0.484,4.207,0.006,0.006,0.0,0.006
-845.0,4.296,4.296,0.492,4.267,0.006,0.006,0.0,0.006
-840.0,4.358,4.358,0.5,4.329,0.006,0.006,0.0,0.006
-835.0,4.421,4.421,0.508,4.392,0.006,0.006,0.0,0.006
-830.0,4.486,4.486,0.517,4.456,0.007,0.007,0.0,0.007
-825.0,4.552,4.552,0.525,4.522,0.007,0.007,0.0,0.007
-820.0,4.62,4.62,0.534,4.589,0.007,0.007,0.0,0.007
-815.0,4.689,4.689,0.543,4.657,0.007,0.007,0.0,0.007
-810.0,4.76,4.76,0.552,4.728,0.007,0.007,0.0,0.007
-805.0,4.832,4.832,0.562,4.8,0.007,0.007,0.0,0.007
-800.0,4.907,4.907,0.571,4.873,0.007,0.007,0.0,0.007
-795.0,4.983,4.983,0.581,4.948,0.007,0.007,0.0,0.007
-790.0,5.06,5.06,0.592,5.026,0.007,0.007,0.0,0.007
-785.0,5.14,5.14,0.602,5.104,0.008,0.008,0.0,0.008
-780.0,5.221,5.221,0.613,5.185,0.008,0.008,0.0,0.008
-775.0,5.305,5.305,0.624,5.268,0.008,0.008,0.0,0.008
-770.0,5.391,5.391,0.636,5.353,0.008,0.008,0.0,0.008
-765.0,5.478,5.478,0.648,5.44,0.008,0.008,0.0,0.008
-760.0,5.568,5.568,0.66,5.529,0.008,0.008,0.0,0.008
-755.0,5.66,5.66,0.672,5.62,0.008,0.008,0.0,0.008
-750.0,5.755,5.755,0.685,5.714,0.009,0.009,0.0,0.009
-745.0,5.852,5.852,0.698,5.81,0.009,0.009,0.0,0.009
-740.0,5.951,5.951,0.712,5.908,0.009,0.009,0.0,0.009
-735.0,6.053,6.053,0.726,6.01,0.009,0.009,0.0,0.009
-730.0,6.158,6.158,0.741,6.113,0.009,0.009,0.0,0.009
-725.0,6.266,6.266,0.756,6.22,0.009,0.009,0.0,0.009
-720.0,6.376,6.376,0.771,6.329,0.01,0.01,0.0,0.01
-715.0,6.489,6.489,0.787,6.441,0.01,0.01,0.0,0.01
-710.0,6.606,6.606,0.804,6.557,0.01,0.01,0.0,0.01
-705.0,6.726,6.726,0.821,6.675,0.01,0.01,0.0,0.01
-700.0,6.849,6.849,0.838,6.797,0.01,0.01,0.0,0.01
-695.0,6.975,6.975,0.856,6.923,0.011,0.011,0.0,0.011
-690.0,7.106,7.106,0.875,7.052,0.011,0.011,0.0,0.011
-685.0,7.24,7.24,0.895,7.184,0.011,0.011,0.0,0.011
-680.0,7.378,7.378,0.915,7.321,0.011,0.011,0.0,0.011
-675.0,7.52,7.52,0.936,7.461,0.012,0.012,0.0,0.012
-670.0,7.666,7.666,0.957,7.606,0.012,0.012,0.0,0.012
-665.0,7.816,7.816,0.98,7.755,0.012,0.012,0.0,0.012
-660.0,7.971,7.971,1.003,7.908,0.012,0.012,0.0,0.012
-655.0,8.131,8.131,1.027,8.066,0.013,0.013,0.0,0.013
-650.0,8.296,8.296,1.052,8.229,0.013,0.013,0.0,0.013
-645.0,8.466,8.466,1.078,8.397,0.013,0.013,0.0,0.013
-640.0,8.642,8.642,1.104,8.571,0.014,0.014,0.0,0.014
-635.0,8.823,8.823,1.132,8.75,0.014,0.014,0.0,0.014
-630.0,9.01,9.01,1.161,8.935,0.014,0.014,0.0,0.014
-625.0,9.203,9.203,1.192,9.126,0.015,0.015,0.0,0.015
-620.0,9.403,9.403,1.223,9.323,0.015,0.015,0.0,0.015
-615.0,9.609,9.609,1.256,9.527,0.015,0.015,0.0,0.015
-610.0,9.822,9.822,1.29,9.737,0.016,0.016,0.0,0.016
-605.0,10.043,10.043,1.325,9.955,0.016,0.016,0.0,0.016
-600.0,10.272,10.272,1.362,10.181,0.017,0.017,0.0,0.017
-595.0,10.508,10.508,1.401,10.415,0.017,0.017,0.0,0.017
-590.0,10.753,10.753,1.441,10.656,0.017,0.017,0.0,0.017
-585.0,11.007,11.007,1.484,10.907,0.018,0.018,0.0,0.018
-580.0,11.271,11.271,1.528,11.167,0.018,0.018,0.0,0.018
-575.0,11.544,11.544,1.574,11.436,0.019,0.019,0.0,0.019
-570.0,11.828,11.828,1.623,11.716,0.02,0.02,0.0,0.02
-565.0,12.122,12.122,1.673,12.006,0.02,0.02,0.0,0.02
-560.0,12.428,12.428,1.726,12.307,0.021,0.021,0.0,0.021
-555.0,12.746,12.746,1.782,12.621,0.021,0.021,0.0,0.021
-550.0,13.077,13.077,1.841,12.946,0.022,0.022,0.0,0.022
-545.0,13.421,13.421,1.903,13.285,0.023,0.023,0.0,0.023
-540.0,13.779,13.779,1.968,13.638,0.023,0.023,0.0,0.023
-535.0,14.153,14.153,2.036,14.005,0.024,0.024,0.0,0.024
-530.0,14.542,14.542,2.108,14.388,0.025,0.025,0.001,0.025
-525.0,14.948,14.948,2.184,14.788,0.026,0.026,0.001,0.026
-520.0,15.372,15.372,2.265,15.205,0.027,0.027,0.001,0.027
-515.0,15.815,15.815,2.35,15.64,0.028,0.028,0.001,0.028
-510.0,16.278,16.278,2.439,16.095,0.029,0.029,0.001,0.029
-505.0,16.763,16.763,2.535,16.57,0.03,0.03,0.001,0.03
-500.0,17.27,17.27,2.636,17.068,0.031,0.031,0.001,0.031
-495.0,17.802,17.802,2.743,17.589,0.032,0.032,0.001,0.032
-490.0,18.359,18.359,2.857,18.136,0.034,0.034,0.001,0.034
-485.0,18.944,18.944,2.979,18.709,0.035,0.035,0.001,0.035
-480.0,19.559,19.559,3.108,19.311,0.037,0.037,0.001,0.037
-475.0,20.206,20.206,3.247,19.943,0.038,0.038,0.001,0.038
-470.0,20.886,20.886,3.394,20.608,0.04,0.04,0.001,0.04
-465.0,21.603,21.603,3.552,21.309,0.042,0.042,0.001,0.042
-460.0,22.359,22.359,3.722,22.047,0.044,0.044,0.001,0.044
-455.0,23.157,23.157,3.904,22.825,0.046,0.046,0.001,0.046
-450.0,24.0,24.0,4.1,23.647,0.048,0.048,0.001,0.048
-445.0,24.893,24.893,4.311,24.517,0.05,0.05,0.002,0.05
-440.0,25.839,25.839,4.539,25.437,0.053,0.053,0.002,0.053
-435.0,26.842,26.842,4.785,26.412,0.056,0.056,0.002,0.056
-430.0,27.908,27.908,5.052,27.447,0.059,0.059,0.002,0.059
-425.0,29.042,29.042,5.342,28.547,0.062,0.062,0.002,0.062
-420.0,30.25,30.251,5.657,29.717,0.066,0.066,0.002,0.066
-415.0,31.54,31.54,6.001,30.964,0.07,0.07,0.002,0.07
-410.0,32.917,32.918,6.377,32.294,0.074,0.074,0.003,0.074
-405.0,34.393,34.393,6.789,33.716,0.079,0.079,0.003,0.079
-400.0,35.975,35.975,7.242,35.239,0.084,0.084,0.003,0.084
-395.0,37.675,37.676,7.741,36.872,0.09,0.09,0.004,0.089
-390.0,39.506,39.507,8.293,38.627,0.096,0.096,0.004,0.096
-385.0,41.482,41.483,8.904,40.516,0.103,0.103,0.004,0.103
-380.0,43.619,43.62,9.584,42.554,0.111,0.111,0.005,0.111
-375.0,45.936,45.938,10.344,44.758,0.119,0.119,0.006,0.119
-370.0,48.455,48.457,11.194,47.146,0.129,0.129,0.006,0.129
-365.0,51.2,51.202,12.151,49.74,0.14,0.14,0.007,0.14
-360.0,54.201,54.204,13.233,52.564,0.153,0.153,0.008,0.153
-355.0,57.492,57.496,14.459,55.648,0.167,0.167,0.009,0.167
-350.0,61.113,61.118,15.858,59.025,0.183,0.183,0.01,0.183
-345.0,65.111,65.118,17.462,62.733,0.202,0.202,0.012,0.201
-340.0,69.544,69.552,19.31,66.818,0.223,0.223,0.014,0.223
-335.0,74.479,74.489,21.454,71.333,0.248,0.248,0.016,0.247
-330.0,79.997,80.011,23.956,76.34,0.277,0.277,0.019,0.276
-325.0,86.199,86.217,26.897,81.914,0.311,0.311,0.022,0.31
-320.0,93.207,93.23,30.38,88.142,0.351,0.351,0.026,0.35
-315.0,101.172,101.203,34.542,95.125,0.399,0.399,0.032,0.398
-310.0,110.282,110.323,39.558,102.988,0.457,0.457,0.038,0.456
-305.0,120.777,120.832,45.665,111.871,0.528,0.528,0.047,0.526
-300.0,132.959,133.034,53.181,121.942,0.615,0.615,0.058,0.612
-295.0,147.22,147.324,62.542,133.39,0.722,0.722,0.072,0.719
-290.0,164.07,164.215,74.354,146.417,0.857,0.857,0.091,0.852
-285.0,184.18,184.386,89.47,161.224,1.029,1.029,0.116,1.022
-280.0,208.444,208.741,109.109,177.954,1.249,1.249,0.15,1.24
-275.0,238.058,238.494,135.031,196.585,1.536,1.536,0.196,1.524
-270.0,274.621,275.276,169.787,216.678,1.913,1.913,0.258,1.896
-265.0,320.244,321.25,217.032,236.852,2.412,2.412,0.342,2.388
-260.0,377.574,379.159,281.764,253.714,3.071,3.071,0.448,3.038
-255.0,449.515,452.07,369.911,259.871,3.925,3.925,0.568,3.883
-250.0,537.99,542.196,485.514,241.355,4.976,4.976,0.666,4.932
-245.0,640.645,647.649,621.83,181.043,6.125,6.125,0.653,6.09
-240.0,745.286,756.888,745.27,132.107,7.076,7.076,0.413,7.064
-235.0,828.279,846.988,793.245,296.902,7.376,7.38,0.253,7.375
-230.0,868.73,897.745,724.755,529.79,6.762,6.777,0.765,6.734
-225.0,867.799,911.438,576.822,705.688,5.498,5.552,1.128,5.436
-220.0,843.515,908.381,440.042,794.683,4.266,4.42,1.266,4.234
-215.0,811.151,907.542,411.607,808.834,3.997,4.186,1.264,3.99
-210.0,774.219,916.588,508.975,762.285,4.891,4.975,1.131,4.845
-205.0,727.392,930.605,637.274,678.165,5.968,6.0,0.807,5.946
-200.0,695.444,936.461,693.966,628.785,6.427,6.447,0.513,6.427
-195.0,742.482,926.128,632.542,676.463,5.942,5.973,0.807,5.918
-190.0,778.525,906.48,496.69,758.291,4.826,4.906,1.13,4.774
-185.0,802.068,890.273,386.96,801.777,3.864,4.055,1.263,3.853
-180.0,820.907,882.958,406.097,784.029,4.078,4.24,1.265,4.047
-175.0,833.173,878.292,541.447,691.543,5.3,5.357,1.124,5.237
-170.0,825.889,859.681,689.094,514.005,6.553,6.569,0.759,6.525
-165.0,783.726,809.501,756.225,288.815,7.143,7.147,0.267,7.142
-160.0,706.661,726.621,705.691,173.142,6.802,6.804,0.455,6.789
-155.0,614.072,629.968,578.555,249.268,5.798,5.799,0.698,5.757
-150.0,527.165,540.405,437.418,317.337,4.585,4.587,0.717,4.53
-145.0,456.656,468.271,315.89,345.675,3.462,3.465,0.628,3.407
-140.0,404.627,415.307,220.948,351.656,2.535,2.541,0.52,2.487
-135.0,369.66,379.838,149.693,349.097,1.816,1.83,0.434,1.778
-130.0,349.822,359.748,100.72,345.361,1.315,1.351,0.381,1.297
-125.0,343.766,353.583,82.845,343.741,1.124,1.181,0.363,1.124
-120.0,351.021,360.846,105.238,345.16,1.347,1.38,0.381,1.327
-115.0,372.05,382.045,156.096,348.701,1.861,1.874,0.433,1.823
-110.0,408.2,418.647,228.052,351.081,2.584,2.59,0.519,2.537
-105.0,461.411,472.781,323.308,344.954,3.512,3.514,0.626,3.458
-100.0,533.089,546.122,445.015,316.561,4.634,4.635,0.715,4.579
-95.0,621.085,636.875,586.291,248.742,5.844,5.845,0.696,5.803
-90.0,714.497,734.541,713.587,174.195,6.846,6.848,0.454,6.833
-85.0,791.844,818.002,764.363,291.337,7.185,7.19,0.267,7.185
-80.0,833.575,868.168,697.643,516.73,6.596,6.612,0.759,6.568
-75.0,839.817,886.27,550.653,694.446,5.346,5.402,1.124,5.283
-70.0,826.136,890.186,415.733,787.145,4.125,4.285,1.264,4.094
-65.0,805.659,896.685,394.722,805.132,3.9,4.09,1.263,3.89
-60.0,780.302,912.04,501.343,761.888,4.846,4.927,1.131,4.796
-55.0,742.402,930.719,635.287,680.182,5.953,5.984,0.807,5.929
-50.0,696.169,939.859,695.542,632.104,6.432,6.452,0.511,6.432
-45.0,732.453,932.548,637.553,680.568,5.967,5.998,0.804,5.944
-40.0,777.552,916.839,506.77,764.054,4.877,4.96,1.128,4.83
-35.0,812.063,905.832,404.653,810.424,3.958,4.146,1.262,3.949
-30.0,841.611,904.325,428.502,796.36,4.199,4.356,1.264,4.168
-25.0,862.656,904.54,563.565,707.521,5.421,5.476,1.125,5.36
-20.0,860.005,887.585,710.807,531.564,6.679,6.694,0.76,6.651
-15.0,816.013,833.548,778.665,297.459,7.283,7.287,0.25,7.283
-10.0,730.043,740.682,729.957,125.59,6.969,6.97,0.423,6.957
-5.0,623.197,629.396,605.677,171.158,6.002,6.002,0.664,5.965
0.0,518.907,522.422,468.428,231.299,4.835,4.835,0.678,4.788
5.0,429.048,430.993,351.812,248.963,3.765,3.765,0.58,3.72
10.0,355.727,356.76,262.579,241.516,2.893,2.893,0.459,2.856
15.0,296.86,297.365,196.698,223.015,2.216,2.216,0.352,2.188
20.0,249.444,249.647,148.252,200.86,1.7,1.7,0.269,1.678
25.0,210.752,210.8,112.269,178.416,1.306,1.306,0.206,1.289
30.0,178.606,178.606,85.138,157.008,1.002,1.003,0.16,0.99
35.0,151.329,151.383,64.398,137.002,0.767,0.767,0.126,0.757
40.0,127.636,127.868,48.464,118.328,0.583,0.584,0.1,0.575
45.0,106.527,107.122,36.468,100.723,0.441,0.442,0.08,0.434
50.0,87.195,88.469,28.232,83.843,0.335,0.337,0.065,0.331
55.0,68.963,71.512,24.161,67.307,0.268,0.272,0.053,0.267
60.0,51.241,56.294,24.434,50.715,0.248,0.252,0.044,0.248
65.0,33.721,43.844,28.082,33.67,0.272,0.274,0.039,0.271
70.0,34.377,37.379,33.787,15.988,0.327,0.327,0.042,0.325
75.0,41.176,41.49,40.822,7.414,0.405,0.405,0.054,0.402
80.0,49.375,56.204,49.086,27.376,0.508,0.509,0.077,0.503
85.0,60.376,78.55,59.009,51.847,0.648,0.651,0.114,0.641
90.0,83.966,107.312,71.719,79.827,0.848,0.853,0.168,0.836
95.0,118.704,142.918,89.532,111.398,1.143,1.15,0.246,1.123
100.0,161.865,186.707,116.704,145.738,1.586,1.594,0.356,1.554
105.0,215.42,240.548,159.924,179.687,2.238,2.247,0.503,2.19
110.0,281.699,306.354,227.385,205.302,3.16,3.169,0.671,3.097
115.0,361.809,384.792,324.278,207.144,4.358,4.364,0.805,4.289
120.0,452.512,472.319,441.53,167.74,5.683,5.687,0.78,5.633
125.0,542.015,557.267,540.459,135.835,6.742,6.743,0.459,6.728
130.0,611.477,621.628,561.598,266.512,7.02,7.02,0.149,7.019
135.0,649.372,655.135,480.778,445.033,6.331,6.331,0.645,6.298
140.0,663.349,666.209,335.749,575.419,5.008,5.008,0.877,4.931
145.0,671.736,673.092,173.626,650.313,3.529,3.53,0.879,3.419
150.0,690.349,691.12,32.678,690.347,2.179,2.195,0.806,2.041
155.0,728.063,728.805,186.693,704.488,1.117,1.272,0.756,1.023
160.0,784.488,785.767,411.326,669.508,1.375,1.452,0.727,1.257
165.0,840.989,843.764,662.84,522.093,2.336,2.345,0.593,2.268
170.0,852.718,858.215,827.046,229.189,2.986,2.988,0.23,2.98
175.0,785.075,793.666,772.573,181.761,2.925,2.926,0.242,2.916
180.0,668.284,678.622,572.679,364.096,2.33,2.331,0.413,2.294
185.0,555.795,565.397,379.747,418.886,1.643,1.643,0.38,1.599
190.0,472.747,479.122,241.876,413.587,1.076,1.077,0.306,1.032
195.0,421.891,424.027,140.73,399.993,0.643,0.665,0.28,0.603
200.0,397.481,397.485,51.483,394.137,0.444,0.535,0.309,0.437
205.0,390.092,393.912,67.425,388.099,0.828,0.85,0.348,0.775
210.0,386.637,403.796,179.591,361.661,1.33,1.34,0.333,1.298
215.0,372.426,414.076,270.739,313.304,1.704,1.718,0.263,1.698
220.0,349.081,414.895,295.932,290.795,1.764,1.803,0.373,1.764
225.0,350.574,405.166,294.489,278.273,1.7,1.765,0.476,1.7
230.0,355.576,382.948,328.339,197.086,1.832,1.862,0.34,1.83
235.0,332.895,342.6,332.642,82.001,1.864,1.867,0.132,1.862
240.0,286.707,288.834,271.233,99.285,1.594,1.594,0.221,1.579
245.0,234.693,234.815,187.85,140.892,1.183,1.185,0.252,1.158
250.0,188.826,188.909,119.33,146.448,0.809,0.813,0.206,0.786
255.0,152.294,152.651,72.783,134.183,0.534,0.537,0.146,0.517
260.0,124.15,124.654,43.286,116.898,0.349,0.352,0.099,0.338
265.0,102.548,103.064,25.093,99.963,0.23,0.233,0.066,0.224
270.0,85.847,86.308,14.241,85.125,0.156,0.159,0.044,0.152
275.0,72.8,73.187,8.436,72.699,0.112,0.114,0.03,0.11
280.0,62.496,62.81,6.299,62.494,0.087,0.089,0.02,0.087
285.0,54.271,54.523,6.145,54.176,0.075,0.076,0.014,0.075
290.0,47.637,47.838,6.444,47.402,0.068,0.069,0.01,0.068
295.0,42.233,42.394,6.636,41.871,0.065,0.065,0.007,0.065
300.0,37.788,37.917,6.643,37.33,0.062,0.062,0.005,0.062
305.0,34.097,34.202,6.504,33.578,0.06,0.06,0.004,0.059
310.0,31.006,31.091,6.27,30.452,0.057,0.057,0.003,0.057
315.0,28.395,28.464,5.981,27.829,0.055,0.055,0.003,0.055
320.0,26.17,26.227,5.667,25.607,0.053,0.053,0.002,0.053
325.0,24.26,24.307,5.346,23.712,0.051,0.051,0.002,0.051
330.0,22.607,22.646,5.03,22.08,0.049,0.049,0.002,0.049
335.0,21.166,21.199,4.728,20.665,0.047,0.047,0.002,0.047
340.0,19.901,19.929,4.442,19.428,0.045,0.045,0.001,0.045
345.0,18.784,18.808,4.174,18.339,0.043,0.043,0.001,0.043
350.0,17.791,17.811,3.925,17.373,0.041,0.041,0.001,0.041
355.0,16.903,16.92,3.694,16.511,0.04,0.04,0.001,0.04
360.0,16.103,16.118,3.481,15.738,0.038,0.038,0.001,0.038
365.0,15.381,15.394,3.285,15.039,0.037,0.037,0.001,0.037
370.0,14.724,14.735,3.104,14.405,0.035,0.035,0.001,0.035
375.0,14.125,14.134,2.938,13.826,0.034,0.034,0.001,0.034
380.0,13.575,13.583,2.784,13.295,0.033,0.033,0.001,0.033
385.0,13.069,13.076,2.643,12.806,0.032,0.032,0.001,0.032
390.0,12.601,12.607,2.512,12.355,0.031,0.031,0.001,0.031
395.0,12.167,12.173,2.392,11.935,0.03,0.03,0.001,0.03
400.0,11.763,11.768,2.28,11.545,0.029,0.029,0.001,0.029
405.0,11.385,11.39,2.176,11.18,0.028,0.028,0.001,0.028
410.0,11.032,11.037,2.08,10.839,0.027,0.027,0.001,0.027
415.0,10.701,10.705,1.991,10.518,0.026,0.026,0.001,0.026
420.0,10.389,10.392,1.907,10.216,0.025,0.025,0.0,0.025
425.0,10.094,10.097,1.83,9.93,0.024,0.024,0.0,0.024
430.0,9.816,9.819,1.757,9.66,0.024,0.024,0.0,0.024
435.0,9.552,9.555,1.69,9.405,0.023,0.023,0.0,0.023
440.0,9.302,9.305,1.626,9.162,0.022,0.022,0.0,0.022
445.0,9.064,9.067,1.566,8.93,0.022,0.022,0.0,0.022
450.0,8.838,8.84,1.51,8.71,0.021,0.021,0.0,0.021
455.0,8.622,8.624,1.458,8.5,0.021,0.021,0.0,0.021
460.0,8.416,8.418,1.408,8.299,0.02,0.02,0.0,0.02
465.0,8.219,8.22,1.361,8.107,0.02,0.02,0.0,0.02
470.0,8.03,8.031,1.317,7.923,0.019,0.019,0.0,0.019
475.0,7.849,7.85,1.275,7.746,0.019,0.019,0.0,0.019
480.0,7.675,7.676,1.235,7.576,0.018,0.018,0.0,0.018
485.0,7.508,7.509,1.198,7.413,0.018,0.018,0.0,0.018
490.0,7.348,7.349,1.162,7.256,0.017,0.017,0.0,0.017
495.0,7.193,7.194,1.128,7.105,0.017,0.017,0.0,0.017
500.0,7.044,7.045,1.096,6.96,0.016,0.016,0.0,0.016
505.0,6.901,6.902,1.065,6.819,0.016,0.016,0.0,0.016
510.0,6.762,6.763,1.036,6.683,0.016,0.016,0.0,0.016
515.0,6.629,6.63,1.008,6.553,0.015,0.015,0.0,0.015
520.0,6.5,6.5,0.981,6.426,0.015,0.015,0.0,0.015
525.0,6.375,6.375,0.955,6.303,0.015,0.015,0.0,0.015
530.0,6.254,6.255,0.931,6.185,0.014,0.014,0.0,0.014
535.0,6.137,6.138,0.908,6.07,0.014,0.014,0.0,0.014
540.0,6.024,6.024,0.885,5.959,0.014,0.014,0.0,0.014
545.0,5.914,5.915,0.864,5.851,0.013,0.013,0.0,0.013
550.0,5.807,5.808,0.843,5.747,0.013,0.013,0.0,0.013
555.0,5.704,5.705,0.823,5.645,0.013,0.013,0.0,0.013
560.0,5.604,5.604,0.804,5.546,0.013,0.013,0.0,0.013
565.0,5.507,5.507,0.786,5.451,0.012,0.012,0.0,0.012
570.0,5.412,5.413,0.768,5.358,0.012,0.012,0.0,0.012
575.0,5.32,5.321,0.751,5.267,0.012,0.012,0.0,0.012
580.0,5.231,5.231,0.735,5.179,0.012,0.012,0.0,0.012
585.0,5.144,5.144,0.719,5.094,0.011,0.011,0.0,0.011
590.0,5.059,5.06,0.704,5.011,0.011,0.011,0.0,0.011
595.0,4.977,4.978,0.689,4.93,0.011,0.011,0.0,0.011
600.0,4.897,4.897,0.675,4.851,0.011,0.011,0.0,0.011
605.0,4.819,4.819,0.661,4.774,0.011,0.011,0.0,0.011
610.0,4.743,4.743,0.648,4.699,0.01,0.01,0.0,0.01
